Datetime,CarCount,BikeCount,BusCount,TruckCount,Total
2024-01-10 00:00:00,31,0,4,4,39
2024-01-10 00:15:00,49,0,3,3,55
2024-01-10 00:30:00,46,0,3,6,55
2024-01-10 00:45:00,51,0,2,5,58
2024-01-10 01:00:00,57,6,15,16,94
2024-01-10 01:15:00,44,0,5,4,53
2024-01-10 01:30:00,37,0,1,4,42
2024-01-10 01:45:00,42,4,4,5,55
2024-01-10 02:00:00,51,0,9,7,67
2024-01-10 02:15:00,34,0,4,7,45
2024-01-10 02:30:00,45,0,1,1,47
2024-01-10 02:45:00,45,0,1,3,49
2024-01-10 03:00:00,50,0,3,0,53
2024-01-10 03:15:00,34,0,4,4,42
2024-01-10 03:30:00,129,22,42,1,194
2024-01-10 03:45:00,144,16,49,0,209
2024-01-10 04:00:00,111,28,20,3,162
2024-01-10 04:15:00,67,11,10,16,104
2024-01-10 04:30:00,65,24,7,16,112
2024-01-10 04:45:00,94,27,7,16,144
2024-01-10 05:00:00,94,20,8,7,129
2024-01-10 05:15:00,67,29,5,10,111
2024-01-10 05:30:00,56,12,2,14,84
2024-01-10 05:45:00,57,13,3,11,84
2024-01-10 06:00:00,129,22,42,1,194
2024-01-10 06:15:00,144,16,49,0,209
2024-01-10 06:30:00,111,28,20,3,162
2024-01-10 06:45:00,120,27,46,3,196
2024-01-10 07:00:00,102,39,47,1,189
2024-01-10 07:15:00,145,23,27,0,195
2024-01-10 07:30:00,114,37,21,5,177
2024-01-10 07:45:00,108,18,22,1,149
2024-01-10 08:00:00,122,28,33,1,184
2024-01-10 08:15:00,114,39,30,3,186
2024-01-10 08:30:00,150,36,25,1,212
2024-01-10 08:45:00,107,10,49,2,168
2024-01-10 09:00:00,124,24,22,0,170
2024-01-10 09:15:00,77,16,39,29,161
2024-01-10 09:30:00,15,23,30,21,89
2024-01-10 09:45:00,32,22,38,21,113
2024-01-10 10:00:00,68,13,29,24,134
2024-01-10 10:15:00,27,16,36,30,109
2024-01-10 10:30:00,76,7,11,15,109
2024-01-10 10:45:00,41,23,20,17,101
2024-01-10 11:00:00,33,10,3,29,75
2024-01-10 11:15:00,58,8,14,29,109
2024-01-10 11:30:00,65,7,11,26,109
2024-01-10 11:45:00,47,9,6,29,91
2024-01-10 12:00:00,38,10,5,25,78
2024-01-10 12:15:00,57,8,12,29,106
2024-01-10 12:30:00,20,6,4,20,50
2024-01-10 12:45:00,24,9,14,23,70
